Time,ColorTemp, Lux, R, G, B, C
1608191244,5769,1312,2897,2971,3329,9779
1608191264,5769,1312,2897,2971,3329,9779
1608191285,5769,1313,2897,2972,3329,9780
1608191306,5770,1313,2897,2972,3330,9781
1608191327,5770,1313,2897,2972,3330,9782
1608191347,5770,1313,2897,2972,3330,9782
1608191368,5770,1313,2897,2972,3330,9782
1608191389,5771,1313,2897,2973,3331,9785
1608191409,5771,1313,2897,2973,3331,9783
1608191430,5771,1313,2897,2973,3331,9784
1608191451,5773,1314,2897,2974,3332,9786
1608191471,5771,1315,2897,2974,3331,9785
1608191492,5773,1314,2897,2974,3332,9786
1608191513,5773,1314,2897,2974,3332,9787
1608191534,5773,1316,2897,2975,3332,9787
1608191554,5774,1316,2896,2975,3332,9787
1608191575,5774,1315,2897,2975,3333,9789
1608191596,5774,1315,2897,2975,3333,9789
1608191616,5775,1315,2896,2975,3333,9789
1608191637,5775,1316,2897,2976,3334,9791
1608191658,5775,1318,2897,2977,3334,9792
1608191678,5777,1316,2896,2976,3334,9791
1608191699,5777,1318,2896,2977,3334,9792
1608191720,5777,1318,2896,2977,3334,9792
1608191741,5778,1317,2896,2977,3335,9793
1608191761,5778,1317,2896,2977,3335,9794
1608191782,5778,1319,2896,2978,3335,9795
1608191803,5778,1319,2896,2978,3335,9794
1608191823,5779,1318,2896,2978,3336,9796
1608191844,5779,1320,2896,2979,3336,9796
1608191865,5779,1318,2896,2978,3336,9795
1608191885,5779,1320,2896,2979,3336,9796
1608191906,5781,1319,2896,2979,3337,9797
1608191927,5781,1319,2896,2979,3337,9797
1608191948,5782,1319,2895,2979,3337,9797
1608191968,5781,1319,2896,2979,3337,9798
1608191989,5782,1321,2895,2980,3337,9798
1608192010,5781,1320,2896,2980,3337,9799
1608192030,5781,1320,2896,2980,3337,9800
1608192051,5784,1320,2895,2980,3338,9800
1608192072,5784,1322,2895,2981,3338,9801
1608192093,5784,1322,2895,2981,3338,9801
1608192113,5784,1322,2895,2981,3338,9802
1608192134,5785,1321,2895,2981,3339,9803
1608192155,5785,1321,2895,2981,3339,9802
1608192175,5785,1322,2895,2982,3339,9803
1608192196,5785,1322,2895,2982,3339,9804
1608192217,5785,1322,2895,2982,3339,9804
1608192237,5786,1323,2894,2982,3339,9803
1608192258,5785,1322,2895,2982,3339,9804
1608192279,5786,1323,2895,2983,3340,9805
1608192300,5786,1323,2895,2983,3340,9805
1608192320,5788,1324,2894,2983,3340,9806
1608192341,5788,1324,2894,2983,3340,9806
1608192362,5788,1324,2894,2983,3340,9807
1608192382,5787,1324,2895,2984,3341,9808
1608192403,5789,1324,2894,2984,3341,9808
1608192424,5790,1324,2894,2984,3342,9809
1608192444,5790,1324,2894,2984,3342,9809
1608192465,5790,1324,2894,2984,3342,9809
1608192486,5790,1324,2894,2984,3342,9809
1608192507,5790,1325,2894,2985,3342,9809
1608192527,5790,1325,2894,2985,3342,9810
1608192548,5790,1325,2894,2985,3342,9811
1608192569,5792,1325,2894,2985,3343,9812
1608192589,5792,1326,2894,2986,3343,9812
1608192610,5792,1326,2894,2986,3343,9812
1608192631,5792,1326,2894,2986,3343,9812
1608192652,5794,1326,2893,2986,3344,9813
1608192672,5794,1327,2893,2987,3344,9814
1608192693,5794,1327,2893,2987,3344,9813
1608192714,5794,1327,2893,2987,3344,9814
1608192734,5794,1327,2893,2987,3344,9814
1608192755,5794,1327,2893,2987,3344,9815
1608192776,5794,1327,2893,2987,3344,9815
1608192796,5796,1328,2893,2988,3345,9816
1608192817,5796,1328,2893,2988,3345,9816
1608192838,5796,1328,2893,2988,3345,9816
1608192859,5797,1327,2893,2988,3346,9818
1608192879,5797,1329,2893,2989,3346,9818
1608192900,5797,1329,2893,2989,3346,9818
1608192921,5797,1329,2893,2989,3346,9819
1608192941,5797,1329,2893,2989,3346,9818
1608192962,5797,1329,2893,2989,3346,9819
1608192983,5798,1330,2893,2990,3347,9820
1608193003,5798,1330,2893,2990,3347,9820
1608193024,5800,1330,2892,2990,3347,9821
1608193045,5800,1330,2892,2990,3347,9821
1608193066,5800,1330,2892,2990,3347,9821
1608193086,5800,1330,2892,2990,3347,9822
1608193107,5801,1331,2892,2991,3348,9822
1608193128,5801,1331,2892,2991,3348,9823
1608193148,5801,1331,2892,2991,3348,9824
1608193169,5801,1331,2892,2991,3348,9823
1608193190,5803,1331,2891,2991,3348,9823
1608193211,5803,1331,2891,2991,3348,9823
1608193231,5803,1331,2891,2991,3348,9823
1608193252,5803,1333,2891,2992,3348,9824
1608193273,5804,1332,2891,2992,3349,9825
1608193293,5804,1332,2891,2992,3349,9824
1608193314,5804,1332,2891,2992,3349,9825
1608193335,5804,1332,2891,2992,3349,9825
1608193355,5804,1332,2891,2992,3349,9826
1608193376,5805,1333,2891,2993,3350,9826
1608193397,5805,1333,2891,2993,3350,9827
1608193418,5805,1333,2891,2993,3350,9826
1608193438,5805,1333,2891,2993,3350,9828
1608193459,5805,1333,2891,2993,3350,9828
1608193480,5807,1333,2890,2993,3350,9828
1608193500,5807,1334,2891,2994,3351,9829
1608193521,5808,1334,2890,2994,3351,9829
1608193542,5808,1334,2890,2994,3351,9829
1608193562,5808,1334,2890,2994,3351,9829
1608193583,5808,1334,2890,2994,3351,9829
1608193604,5808,1336,2890,2995,3351,9830
1608193625,5810,1335,2890,2995,3352,9830
1608193645,5808,1336,2890,2995,3351,9830
1608193666,5810,1335,2890,2995,3352,9831
1608193687,5810,1335,2890,2995,3352,9832
1608193707,5811,1335,2889,2995,3352,9832
1608193728,5810,1337,2890,2996,3352,9833
1608193749,5811,1337,2889,2996,3352,9832
1608193770,5812,1336,2889,2996,3353,9833
1608193790,5812,1336,2889,2996,3353,9833
1608193811,5812,1336,2889,2996,3353,9834
1608193832,5812,1336,2889,2996,3353,9834
1608193852,5812,1338,2889,2997,3353,9834
1608193873,5812,1338,2889,2997,3353,9835
1608193894,5812,1338,2889,2997,3353,9835
1608193914,5814,1337,2889,2997,3354,9835
1608193935,5814,1337,2889,2997,3354,9835
1608193956,5814,1337,2889,2997,3354,9836
1608193977,5815,1339,2888,2998,3354,9836
1608193997,5814,1339,2889,2998,3354,9836
1608194018,5817,1338,2888,2998,3355,9837
1608194039,5815,1339,2888,2998,3354,9837
1608194059,5817,1338,2888,2998,3355,9838
1608194080,5817,1338,2888,2998,3355,9838
1608194101,5817,1338,2888,2998,3355,9838
1608194121,5818,1339,2887,2998,3355,9838
1608194142,5817,1340,2888,2999,3355,9839
1608194163,5818,1340,2887,2999,3355,9838
1608194184,5818,1340,2887,2999,3355,9839
1608194204,5818,1340,2887,2999,3355,9839
1608194225,5819,1339,2887,2999,3356,9838
1608194246,5819,1341,2887,3000,3356,9840
1608194266,5819,1339,2887,2999,3356,9840
1608194287,5819,1341,2887,3000,3356,9841
1608194308,5821,1340,2887,3000,3357,9841
1608194329,5821,1340,2887,3000,3357,9841
1608194349,5821,1340,2887,3000,3357,9842
1608194370,5821,1340,2887,3000,3357,9841
1608194391,5822,1341,2886,3000,3357,9842
1608194411,5822,1341,2886,3000,3357,9842
1608194432,5822,1342,2886,3001,3357,9843
